p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.41000000000000003,1.0,0.17,0.76
0.41000000000000003,1.0,0.2,0.75
0.41000000000000003,1.0,0.21,0.75
0.41000000000000003,1.0,0.24,0.74
0.41000000000000003,1.0,0.26,0.73
0.41000000000000003,1.0,0.29,0.72
0.41000000000000003,1.0,0.31,0.71
0.41000000000000003,1.0,0.34,0.7000000000000001
0.41000000000000003,1.0,0.36,0.6900000000000001
0.41000000000000003,1.0,0.38,0.68
0.41000000000000003,1.0,0.4,0.67
0.42,1.0,0.17,0.76
0.42,1.0,0.2,0.75
0.42,1.0,0.21,0.75
0.42,1.0,0.24,0.74
0.42,1.0,0.26,0.73
0.42,1.0,0.29,0.72
0.42,1.0,0.31,0.71
0.42,1.0,0.34,0.7000000000000001
0.42,1.0,0.36,0.6900000000000001
0.42,1.0,0.38,0.68
0.42,1.0,0.4,0.67
0.43,1.0,0.17,0.76
0.43,1.0,0.2,0.75
0.43,1.0,0.21,0.75
0.43,1.0,0.24,0.74
0.43,1.0,0.26,0.73
0.43,1.0,0.29,0.72
0.43,1.0,0.31,0.71
0.43,1.0,0.34,0.7000000000000001
0.43,1.0,0.36,0.6900000000000001
0.43,1.0,0.38,0.68
0.43,1.0,0.4,0.67
0.44,1.0,0.17,0.76
0.44,1.0,0.2,0.75
0.44,1.0,0.21,0.75
0.44,1.0,0.24,0.74
0.44,1.0,0.26,0.73
0.44,1.0,0.29,0.72
0.44,1.0,0.31,0.71
0.44,1.0,0.34,0.7000000000000001
0.44,1.0,0.36,0.6900000000000001
0.44,1.0,0.38,0.68
0.44,1.0,0.4,0.67
0.45,1.0,0.17,0.76
0.45,1.0,0.2,0.75
0.45,1.0,0.21,0.75
0.45,1.0,0.24,0.74
0.45,1.0,0.26,0.73
0.45,1.0,0.29,0.72
0.45,1.0,0.31,0.71
0.45,1.0,0.34,0.7000000000000001
0.45,1.0,0.36,0.6900000000000001
0.45,1.0,0.38,0.68
0.45,1.0,0.4,0.67
0.46,1.0,0.17,0.76
0.46,1.0,0.2,0.75
0.46,1.0,0.21,0.75
