"mu_(('A', 1), 0)","mu_(('A', 1), ('A', 1))","mu_(('A', 1), ('A', 2))","mu_(('A', 1), ('B', 1))","mu_(('A', 1), ('B', 2))","mu_(('A', 2), 0)","mu_(('A', 2), ('A', 1))","mu_(('A', 2), ('A', 2))","mu_(('A', 2), ('B', 1))","mu_(('A', 2), ('B', 2))","mu_(('B', 1), 0)","mu_(('B', 1), ('A', 1))","mu_(('B', 1), ('A', 2))","mu_(('B', 1), ('B', 1))","mu_(('B', 1), ('B', 2))","mu_(('B', 2), 0)","mu_(('B', 2), ('A', 1))","mu_(('B', 2), ('A', 2))","mu_(('B', 2), ('B', 1))","mu_(('B', 2), ('B', 2))",N_A_1,N_A_2,N_B_1,N_B_2,N_A_1_raw,N_A_2_raw,N_B_1_raw,N_B_2_raw,total_individuals,term,major
0.2857142857142857,0.5714285714285714,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714288,0.14285714285714288,0.5714285714285715,0.0,0.14285714285714288,0.4285714285714286,0.0,0.0,0.5714285714285714,0.0,0.0,0.5,0.5,0.0,0.0,0.4666666666666667,0.23333333333333334,0.23333333333333334,0.06666666666666667,14,7,7,2,30,201610,Física
0.1875,0.5,0.125,0.1875,0.0,0.0,0.4,0.4,0.2,0.0,0.2,0.6,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.18518518518518517,0.18518518518518517,0.037037037037037035,16,5,5,1,27,201610,Geociencias
0.17391304347826086,0.6086956521739131,0.0,0.2173913043478261,0.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.6388888888888888,0.1111111111111111,0.25,0.0,23,4,9,0,36,201610,GobPolítica
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,1,0,1,3,201610,HistArte
0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,2,1,0,1,4,201610,Historia
0.2272727272727273,0.27272727272727276,0.27272727272727276,0.13636363636363638,0.09090909090909091,0.05,0.3,0.3,0.25,0.1,0.26666666666666666,0.19999999999999998,0.3333333333333333,0.0,0.19999999999999998,0.0,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.22222222222222224,0.3333333333333333,0.30303030303030304,0.22727272727272727,0.13636363636363635,22,20,15,9,66,201610,IngAmbiental
0.25,0.5,0.0,0.17857142857142858,0.07142857142857142,0.049999999999999996,0.0,0.6,0.0,0.35000000000000003,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.2142857142857143,0.14285714285714288,0.5000000000000001,0.0,0.14285714285714288,0.4057971014492754,0.2898550724637681,0.10144927536231885,0.2028985507246377,28,20,7,14,69,201610,IngBiomédica
0.15384615384615385,0.38461538461538464,0.038461538461538464,0.34615384615384615,0.07692307692307693,0.17391304347826086,0.043478260869565216,0.5217391304347826,0.043478260869565216,0.21739130434782608,0.1111111111111111,0.5,0.05555555555555555,0.3333333333333333,0.0,0.35714285714285715,0.14285714285714285,0.35714285714285715,0.0,0.14285714285714285,0.32098765432098764,0.2839506172839506,0.2222222222222222,0.1728395061728395,26,23,18,14,81,201610,IngCivil
0.18181818181818182,0.18181818181818182,0.09090909090909091,0.5454545454545455,0.0,0.17857142857142855,0.03571428571428571,0.5,0.03571428571428571,0.25,0.10526315789473685,0.31578947368421056,0.052631578947368425,0.4210526315789474,0.10526315789473685,0.08333333333333331,0.0,0.5833333333333333,0.16666666666666663,0.16666666666666663,0.15714285714285714,0.4,0.2714285714285714,0.17142857142857143,11,28,19,12,70,201610,IngElectrónica
0.33333333333333337,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.16666666666666669,0.0,0.5,0.08333333333333334,0.4,0.0,0.0,0.2,0.4,0.13636363636363635,0.09090909090909091,0.5454545454545454,0.22727272727272727,3,2,12,5,22,201610,IngEléctrica
0.17391304347826086,0.40579710144927533,0.18840579710144928,0.18840579710144928,0.043478260869565216,0.0909090909090909,0.2954545454545454,0.4999999999999999,0.0909090909090909,0.022727272727272724,0.04166666666666668,0.5416666666666667,0.1666666666666667,0.25000000000000006,0.0,0.19999999999999998,0.6,0.19999999999999998,0.0,0.0,0.4859154929577465,0.30985915492957744,0.16901408450704225,0.035211267605633804,69,44,24,5,142,201610,IngIndustrial
0.0975609756097561,0.5853658536585366,0.12195121951219512,0.17073170731707318,0.024390243902439025,0.2608695652173913,0.21739130434782608,0.34782608695652173,0.043478260869565216,0.13043478260869565,0.07142857142857144,0.5000000000000001,0.07142857142857144,0.28571428571428575,0.07142857142857144,0.07142857142857144,0.07142857142857144,0.2142857142857143,0.07142857142857144,0.5714285714285715,0.44565217391304346,0.25,0.15217391304347827,0.15217391304347827,41,23,14,14,92,201610,IngMecánica
0.10416666666666666,0.625,0.10416666666666666,0.08333333333333334,0.08333333333333334,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.3157894736842105,0.26315789473684204,0.16666666666666669,0.33333333333333337,0.08333333333333334,0.41666666666666663,0.0,0.5333333333333333,0.12222222222222222,0.2111111111111111,0.13333333333333333,48,11,19,12,90,201610,IngQuímica
0.08333333333333334,0.5833333333333334,0.08333333333333334,0.16666666666666669,0.08333333333333334,0.23076923076923078,0.05128205128205129,0.5128205128205129,0.0,0.20512820512820515,0.12500000000000003,0.16666666666666669,0.0,0.5833333333333334,0.12500000000000003,0.2105263157894737,0.10526315789473685,0.4210526315789474,0.15789473684210528,0.10526315789473685,0.22641509433962265,0.36792452830188677,0.22641509433962265,0.1792452830188679,24,39,24,19,106,201610,IngSistemas
0.0,0.0,0.5714285714285715,0.14285714285714288,0.28571428571428575,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.0,0.09090909090909091,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.33333333333333337,0.0,0.0,0.3181818181818182,0.5,0.045454545454545456,0.13636363636363635,7,11,1,3,22,201610,Literatura
0.16666666666666669,0.6666666666666667,0.16666666666666669,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.1,6,3,0,1,10,201610,Matemáticas
