"mu_(('A', 1), 0)","mu_(('A', 1), ('A', 1))","mu_(('A', 1), ('A', 2))","mu_(('A', 1), ('B', 1))","mu_(('A', 1), ('B', 2))","mu_(('A', 2), 0)","mu_(('A', 2), ('A', 1))","mu_(('A', 2), ('A', 2))","mu_(('A', 2), ('B', 1))","mu_(('A', 2), ('B', 2))","mu_(('B', 1), 0)","mu_(('B', 1), ('A', 1))","mu_(('B', 1), ('A', 2))","mu_(('B', 1), ('B', 1))","mu_(('B', 1), ('B', 2))","mu_(('B', 2), 0)","mu_(('B', 2), ('A', 1))","mu_(('B', 2), ('A', 2))","mu_(('B', 2), ('B', 1))","mu_(('B', 2), ('B', 2))",N_A_1,N_A_2,N_B_1,N_B_2,total_individuals,term,major
0.33333333333333337,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.16666666666666669,0.0,0.5,0.08333333333333334,0.4,0.0,0.0,0.2,0.4,0.13157894736842105,0.10526315789473684,0.5526315789473685,0.21052631578947367,22,201610,IngEléctrica
0.15942028985507245,0.4347826086956522,0.1884057971014493,0.1884057971014493,0.028985507246376815,0.11363636363636363,0.2954545454545454,0.45454545454545453,0.0909090909090909,0.04545454545454545,0.04166666666666668,0.5416666666666667,0.1666666666666667,0.25000000000000006,0.0,0.19999999999999998,0.39999999999999997,0.39999999999999997,0.0,0.0,0.4774436090225564,0.31203007518796994,0.17669172932330826,0.03383458646616541,142,201610,IngIndustrial
0.0975609756097561,0.5853658536585366,0.12195121951219512,0.17073170731707318,0.024390243902439025,0.2608695652173913,0.21739130434782608,0.34782608695652173,0.043478260869565216,0.13043478260869565,0.07142857142857144,0.5000000000000001,0.07142857142857144,0.28571428571428575,0.07142857142857144,0.07142857142857144,0.07142857142857144,0.2142857142857143,0.07142857142857144,0.5714285714285715,0.45348837209302323,0.23255813953488372,0.1569767441860465,0.1569767441860465,92,201610,IngMecánica
0.08333333333333336,0.6250000000000001,0.10416666666666669,0.08333333333333336,0.10416666666666669,0.0,0.4545454545454545,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.10526315789473685,0.2105263157894737,0.15789473684210525,0.3157894736842105,0.2105263157894737,0.16666666666666669,0.41666666666666663,0.08333333333333334,0.33333333333333337,0.0,0.5348837209302325,0.12790697674418605,0.20930232558139536,0.12790697674418605,90,201610,IngQuímica
0.08333333333333334,0.5833333333333334,0.08333333333333334,0.16666666666666669,0.08333333333333334,0.1794871794871795,0.05128205128205129,0.5641025641025642,0.0,0.20512820512820515,0.12500000000000003,0.16666666666666669,0.0,0.5833333333333334,0.12500000000000003,0.2105263157894737,0.10526315789473685,0.4210526315789474,0.15789473684210528,0.10526315789473685,0.23469387755102042,0.3622448979591837,0.22959183673469388,0.17346938775510204,106,201610,IngSistemas
0.0,0.0,0.5714285714285715,0.14285714285714288,0.28571428571428575,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.0,0.09090909090909091,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.33333333333333337,0.0,0.0,0.35,0.45,0.05,0.15,22,201610,Literatura
0.16666666666666669,0.6666666666666667,0.16666666666666669,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.3333333333333333,0.0,0.05555555555555555,10,201610,Matemáticas
0.2222222222222222,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.5185185185185185,0.0,0.3703703703703703,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.2,0.1,0.5,0.0,0.2,0.14678899082568808,0.47706422018348627,0.045871559633027525,0.3302752293577982,59,201610,Medicina
0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.45161290322580644,0.16129032258064516,0.3870967741935484,19,201610,Microbiología
0.1111111111111111,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.39999999999999997,0.39999999999999997,0.19999999999999998,0.0,0.3090909090909091,0.3090909090909091,0.2,0.18181818181818182,29,201610,Música
