Major,semester,mean_no counterfactual,mean_50%,mean_100%,mean_150%,diff_50%,pval_50%,tag_50%,diff_100%,pval_100%,tag_100%,diff_150%,pval_150%,tag_150%
IngBiomédica,201610,0.28172080694346496,0.40855985019262436,0.7588982258576439,1.4428317141471387,0.1268390432491594,8.144875933616607e-204,Significant,0.4771774189141789,0.0,Significant,1.1611109072036738,4.966233465121327e-255,Significant
IngCivil,201610,0.44950249152262517,0.7607841158828749,1.8237270673591675,,0.3112816243602497,0.0,Significant,1.3742245758365423,1.4038830154603802e-128,Significant,,,NA
IngElectrónica,201610,0.5125775309611222,1.1181486118304478,4.20251696210695,,0.6055710808693255,0.0,Significant,3.6899394311458273,0.0,Significant,,,NA
IngEléctrica,201610,1.9248415601193585,,,,,,NA,,,NA,,,NA
IngIndustrial,201610,0.21183439067102464,0.26836876774434226,0.36996415190813225,0.5295640169196638,0.056534377073317627,1.1818165377506212e-38,Significant,0.15812976123710762,5.571484517628538e-197,Significant,0.3177296262486392,0.0,Significant
IngMecánica,201610,0.3973029752178381,0.5682915970438368,0.9040725124883341,1.8920426510868364,0.17098862182599872,0.0,Significant,0.506769537270496,0.0,Significant,1.4947396758689984,0.0,Significant
IngQuímica,201610,0.39668405991083916,0.6703990972392848,1.3170484707882724,3.2399935758574188,0.27371503732844565,0.0,Significant,0.9203644108774331,0.0,Significant,2.8433095159465798,0.0,Significant
IngSistemas,201610,0.5603814231160807,0.99686159534891,2.4312485383405926,,0.4364801722328292,0.0,Significant,1.8708671152245118,0.0,Significant,,,NA
Literatura,201610,0.22330061861433567,0.27376057235750706,0.3589275250455208,0.5154123245160255,0.05045995374317139,1.5708386214928912e-157,Significant,0.1356269064311851,0.0,Significant,0.2921117059016898,0.0,Significant
Medicina,201610,0.3726425815469069,0.7113946473738941,1.9496646283201269,,0.33875206582698725,0.0,Significant,1.5770220467732199,0.0,Significant,,,NA
Microbiología,201610,0.9652437301077815,2.099804488379594,,,1.1345607582718125,3.539745007156061e-217,Significant,,,NA,,,NA
Música,201610,0.397283867550118,0.6702296508759898,1.7890913200576248,6.579632806047901,0.2729457833258718,0.0,Significant,1.3918074525075068,0.0,Significant,6.182348938497783,0.0,Significant
Psicología,201610,0.41512797068971347,0.6987818631947555,0.9126557491675923,,0.2836538925050421,0.0,Significant,0.4975277784778788,0.0,Significant,,,NA
Química,201610,0.5541160347321441,1.2546513090572269,4.876596471542283,,0.7005352743250828,0.0,Significant,4.322480436810139,0.0,Significant,,,NA
total,201610,0.38303968854480536,0.5560085743773533,0.921106831145618,1.85201424276921,0.17296888583254794,0.0,Significant,0.5380671426008126,0.0,Significant,1.4689745542244046,0.0,Significant
Arquitectura,201620,0.15990969152582066,0.15897344761265014,0.16896894624990363,0.1770209648486781,-0.0009362439131705147,0.7262764251282665,Not significant,0.009059254724082977,0.0004395516293345072,Significant,0.017111273322857445,3.3290725260091105e-11,Significant
Artes,201620,0.30172449442550325,0.32024765921777126,0.36036865180982947,0.3909236362447621,0.01852316479226801,7.489779672838442e-14,Significant,0.05864415738432621,6.652001185522439e-128,Significant,0.08919914181925886,2.666149403361344e-287,Significant
Biología,201620,,,,,,,NA,,,NA,,,NA
Cpol,201620,0.2220062448724737,0.24304849704681686,0.2688448551044365,0.2812073836411746,0.021042252174343162,1.5739448729111607e-11,Significant,0.04683861023196281,3.094578778092389e-50,Significant,0.059201138768700895,7.134615146401587e-77,Significant
Economía,201620,0.1084749550818963,0.1324196025239053,0.15606800405564172,0.15560565287106182,0.023944647442009012,1.9935121599775617e-19,Significant,0.04759304897374543,2.1180038163549208e-62,Significant,0.047130697789165524,5.848288289191967e-54,Significant
Física,201620,0.11271758096948559,0.12177516820217067,0.1755511057733063,0.23702685280194338,0.009057587232685085,1.103422334655704e-05,Significant,0.0628335248038207,1.8844668957694224e-103,Significant,0.1243092718324578,0.0,Significant
GobPolítica,201620,0.0986393782917321,0.26290977398705306,0.37133107029444634,,0.16427039569532098,3.942027900362213e-108,Significant,0.27269169200271426,7.093799191636755e-90,Significant,,,NA
HistArte,201620,0.17282934461878335,0.20818063761350397,0.2478547682870505,0.3058336440076253,0.03535129299472062,6.560446759357244e-88,Significant,0.07502542366826714,0.0,Significant,0.13300429938884195,0.0,Significant
IngAmbiental,201620,0.15484702728782204,0.15484702728782204,0.1588585416816063,0.1588585416816063,0.0,1.0,Not significant,0.004011514393784249,0.1525730028031944,Not significant,0.004011514393784249,0.1525730028031944,Not significant
IngBiomédica,201620,0.239034010128082,0.25770420217403794,0.2885139453513401,0.3234074341781274,0.018670192045955936,2.210579805375417e-18,Significant,0.04947993522325811,2.3572453840932915e-118,Significant,0.08437342405004539,0.0,Significant
IngMecánica,201620,0.17513414954291331,0.15664099328802247,0.15245640814127187,0.1661653349094531,-0.01849315625489084,1.8885628115539794e-09,Significant,-0.022677741401641444,2.957807088612249e-15,Significant,-0.00896881463346022,0.001479763598420981,Significant
IngSistemas,201620,0.24722797545016864,0.2584562321073569,0.2860634005811666,0.3106113944759427,0.011228256657188268,8.740021362160966e-07,Significant,0.03883542513099794,2.5425321969305847e-67,Significant,0.06338341902577407,4.118062601751768e-168,Significant
Medicina,201620,0.288783504746761,0.29220283126934804,0.3817956511065761,0.4139399993800799,0.0034193265225870295,0.5079161801362695,Not significant,0.09301214635981508,4.268980695025859e-76,Significant,0.1251564946333189,2.562883560752322e-184,Significant
Microbiología,201620,0.12714429410225908,0.16709896252505654,0.17195129154346372,,0.03995466842279746,1.4072721941641343e-16,Significant,0.04480699744120464,9.754619399287477e-22,Significant,,,NA
Música,201620,0.30576018808777433,0.26562389250429425,,,-0.040136295583480086,0.0077864316522492285,Significant,,,NA,,,NA
Psicología,201620,0.11565579791141062,0.11565579791141062,0.14843406158417147,0.14843406158417147,0.0,1.0,Not significant,0.03277826367276085,3.9415089959745485e-25,Significant,0.03277826367276085,3.9415089959745485e-25,Significant
total,201620,0.15691803171232171,0.14779625511481387,0.1163276201149774,0.16026363932212404,-0.009121776597507847,0.016924560874145973,Significant,-0.04059041159734432,4.032901233032753e-15,Significant,0.00334560760980232,0.45783384448352704,Not significant
Administración,201710,0.15121828595982476,0.15552864912533598,0.16578111932793896,0.17354415546018515,0.004310363165511227,0.09249257645628577,Not significant,0.014562833368114203,4.018761967337342e-09,Significant,0.02232586950036039,2.0181130023562722e-19,Significant
Antropología,201710,0.4556964267291363,0.6378423702627672,1.089652696624702,2.5709051208610925,0.18214594353363095,0.0,Significant,0.6339562698955656,0.0,Significant,2.1152086941319563,5.8891649005897774e-276,Significant
Arquitectura,201710,0.2519503972932748,0.3088951359838067,0.4268113731696217,0.5807042692283472,0.056944738690531904,5.189067974647034e-183,Significant,0.1748609758763469,0.0,Significant,0.3287538719350724,0.0,Significant
